SubjectNum,Activity,tBodyAcc-mean-Y,tBodyAcc-mean-Z,tBodyAcc-std-X,tBodyAcc-std-Y,tBodyAcc-std-Z,tGravityAcc-mean-X,tGravityAcc-mean-Y,tGravityAcc-mean-Z,tGravityAcc-std-X,tGravityAcc-std-Y,tGravityAcc-std-Z,tBodyAccJerk-mean-X,tBodyAccJerk-mean-Y,tBodyAccJerk-mean-Z,tBodyAccJerk-std-X,tBodyAccJerk-std-Y,tBodyAccJerk-std-Z,tBodyGyro-mean-X,tBodyGyro-mean-Y,tBodyGyro-mean-Z,tBodyGyro-std-X,tBodyGyro-std-Y,tBodyGyro-std-Z,tBodyGyroJerk-mean-X,tBodyGyroJerk-mean-Y,tBodyGyroJerk-mean-Z,tBodyGyroJerk-std-X,tBodyGyroJerk-std-Y,tBodyGyroJerk-std-Z,tBodyAccMag-mean,tBodyAccMag-std,tGravityAccMag-mean,tGravityAccMag-std,tBodyAccJerkMag-mean,tBodyAccJerkMag-std,tBodyGyroMag-mean,tBodyGyroMag-std,tBodyGyroJerkMag-mean,tBodyGyroJerkMag-std,fBodyAcc-mean-X,fBodyAcc-mean-Y,fBodyAcc-mean-Z,fBodyAcc-std-X,fBodyAcc-std-Y,fBodyAcc-std-Z,fBodyAccJerk-mean-X,fBodyAccJerk-mean-Y,fBodyAccJerk-mean-Z,fBodyAccJerk-std-X,fBodyAccJerk-std-Y,fBodyAccJerk-std-Z,fBodyGyro-mean-X,fBodyGyro-mean-Y,fBodyGyro-mean-Z,fBodyGyro-std-X,fBodyGyro-std-Y,fBodyGyro-std-Z,fBodyAccMag-mean,fBodyAccMag-std,fBodyBodyAccJerkMag-mean,fBodyBodyAccJerkMag-std,fBodyBodyGyroMag-mean,fBodyBodyGyroMag-std,fBodyBodyGyroJerkMag-mean,fBodyBodyGyroJerkMag-std
1,,0.265696920582133,-0.0182981725176081,-0.10784573454611,-0.545795331328326,-0.367716218227378,0.196151041060519,0.744867411573487,-0.0825562579855908,0.072339870389049,-0.959859435936599,-0.951150627458213,0.146578594036311,0.0770930495126801,0.0165908438802306,-0.00910758730117003,-0.524721922818732,-0.470412403511239,0.208920598589625,-0.0208764064320173,-0.0880722729400576,0.0862641666597983,-0.686555715201729,-0.450979810499568,-0.10499394311268,-0.0971120197265994,-0.0417164808293948,-0.0471393985477522,-0.637812687210375,-0.634472244550432,-0.140014582478069,-0.453632943768819,-0.0491918153835735,-0.453632943768819,-0.0491918153835735,-0.545431612066571,0.0359250982402594,-0.475404785802306,-0.117131960956974,-0.639517432642651,-0.128115556073487,-0.531895161258213,-0.406435448904438,-0.596411165253602,-0.553060616663401,-0.390150939647061,-0.946905131729107,-0.547348892435764,-0.507343617969859,-0.695305113832853,-0.543979776127867,-0.466251676533372,-0.950222492449568,-0.623219182311527,-0.505309434070029,-0.553529065425648,-0.708263420861672,-0.429825832648703,-0.956784694409222,-0.478448523354179,-0.688715625787608,-0.499075765624092,-0.637882103117867,-0.535002770337752,-0.506323319276945,-0.645970655298847
2,,0.273113115788079,-0.0191323183174834,-0.115649958175497,-0.605586497159272,-0.428962986589404,0.194535818751225,0.660782866688742,-0.147219886910411,0.134865335090729,-0.963015508245033,-0.960033560165563,0.0691912329423841,0.0785353156747351,0.00708771249764901,0.000755760748377483,-0.557809603123841,-0.491875889831788,0.155085641165397,-0.0517030657821192,-0.0568420186817881,0.0872599422291391,-0.710648927815894,-0.722943674337748,-0.169148962615563,-0.0875587491668874,-0.0433986835453642,-0.0557541828188742,-0.671679103311258,-0.783595466728477,-0.239284362336755,-0.535281800541722,-0.0570892316399371,-0.535281800541722,-0.0570892316399371,-0.58777744543543,0.0688931637195364,-0.614771054893146,-0.0766789491913907,-0.746559539039735,-0.00727562749645695,-0.57377091142947,-0.432566581302351,-0.630081222124835,-0.619788102803311,-0.464723862913245,-0.961691047019868,-0.561682049622185,-0.50890379901457,-0.715745330403974,-0.595105612895033,-0.509147543673841,-0.962758089536424,-0.638717694593046,-0.722068978635762,-0.601594889654305,-0.734588540182119,-0.72716774102649,-0.923628837119205,-0.514569861316887,-0.685566062996689,-0.509746432970861,-0.593132222930066,-0.699742945221854,-0.605982196850993,-0.751615078360927
3,,0.273428719636364,-0.017856067384956,-0.106492632429097,-0.623413602046921,-0.480015920697654,0.156544326025806,0.707814353343109,-0.0260590480328739,0.0480937904190616,-0.966457565630499,-0.9445645371261,0.0152071986105572,0.0701731261988856,0.0144664329060411,-0.000526818872875366,-0.635484688041056,-0.55721186773783,0.0852182319044868,-0.0248490682828446,-0.0743565308442815,0.0866875497119062,-0.699262195705865,-0.76302218170088,-0.130032880846334,-0.0991554609633431,-0.0401923943695015,-0.0521178264170088,-0.689328428607038,-0.842659862111437,-0.107025768144897,-0.563140802770059,-0.0629949821747801,-0.563140802770059,-0.0629949821747801,-0.650182434328446,0.00407820575718475,-0.643150121648094,-0.0535119465671848,-0.784056656246334,-0.121169067362153,-0.625733289873607,-0.501779938505279,-0.699656828592375,-0.623805015199413,-0.502753639795894,-0.979676490821114,-0.645893496630499,-0.582949919157742,-0.780101644193548,-0.657844055881525,-0.559851186088408,-0.980556463255132,-0.642097719778592,-0.775144985073314,-0.670734708996481,-0.719276622702346,-0.758505287214076,-0.976900586774194,-0.579076453758065,-0.672093167772434,-0.604752108072727,-0.561776583640469,-0.716822144279179,-0.577542913560537,-0.810085498651026
4,,0.274183111498423,-0.0148081545344921,-0.107521430810726,-0.605211727785489,-0.509929384011325,0.0536488726544164,0.706593043123028,0.112591195496986,0.164130896618297,-0.962636979274448,-0.941416800167192,0.128165440966877,0.078863784515142,0.00351340949514196,-0.00737375142832808,-0.631853083289621,-0.584063204701893,0.120329533513211,-0.0289417906907571,-0.0787229907785489,0.0957174866009464,-0.701397703369085,-0.79823574873817,-0.0576250513376972,-0.107859315713249,-0.0400427574662461,-0.0578089304000631,-0.723788617823344,-0.902502592618297,-0.0633908272408517,-0.56158213510694,-0.0458894548291167,-0.56158213510694,-0.0458894548291167,-0.656116311856877,-0.00490527515883281,-0.656291093847319,0.0579308807350473,-0.819191368044164,-0.140723275164984,-0.628806379100946,-0.52583456615142,-0.755235428895899,-0.597551324155678,-0.534661524341987,-0.982081375678233,-0.652023078038801,-0.601696223759495,-0.825154871135647,-0.644622004704416,-0.593855151524606,-0.983123317949527,-0.641881977553943,-0.831527531009464,-0.689308946422713,-0.721749187328076,-0.782885735867508,-0.941390245047319,-0.602098037677603,-0.58316700245836,-0.63501900541041,-0.562303965280442,-0.745650754608833,-0.527797350798107,-0.838833209652997
5,,0.279177960301325,-0.0154833455336192,-0.105661736816887,-0.507691011391722,-0.402724906078146,0.183328842972351,0.698153719072848,0.112313109736755,0.0921607197449904,-0.964629108807947,-0.939973777950331,0.119310090465795,0.0841019899622517,0.0017656830384106,-0.0029537113427351,-0.575890535679801,-0.506544358609603,0.17715523763904,-0.0294516873643046,-0.0774316445596027,0.0866267116745033,-0.709955676983444,-0.705638306688742,-0.109456425406623,-0.103522877147351,-0.0490624519374172,-0.0506258160122517,-0.662581310334437,-0.774114270364238,-0.0340190859350993,-0.460866415568709,-0.0632658570116027,-0.460866415568709,-0.0632658570116027,-0.589313870006623,-0.0313219733798013,-0.602770284825828,-0.0977463073887417,-0.707383517582782,0.0532652248103642,-0.55123770513245,-0.440232431795033,-0.696171811490066,-0.492829885748676,-0.422162171100331,-0.977865027350993,-0.604769869438742,-0.550991969857417,-0.768762357980133,-0.584013626983444,-0.491500434303907,-0.979199594966888,-0.632239300829801,-0.71706218781457,-0.537329127293278,-0.735738577185431,-0.702290390960265,-0.938884676423841,-0.528503022745033,-0.622500047417219,-0.573176177044172,-0.584574026338079,-0.677355755703311,-0.628709449615894,-0.748829309536424
6,,0.272376614181538,-0.0175697042641846,-0.11599454136,-0.505086085072062,-0.368403670137262,0.112372982983877,0.688702063569231,0.0162055455953846,0.0475199990906462,-0.958898709015385,-0.9509348864,0.17538089676,0.0813833604034769,0.000479281129661539,-0.00225896302076923,-0.531468310262154,-0.454437496885815,0.126975393173292,-0.0433611785374462,-0.0706129097498462,0.0973130293888923,-0.653800660041538,-0.626252072652308,-0.180886790116062,-0.0829159966093231,-0.0454921005615385,-0.0533610323667692,-0.546009968372308,-0.677635980501539,-0.203990054925538,-0.464770006998123,-0.0309695179415385,-0.464770006998123,-0.0309695179415385,-0.551413652396923,-0.0325159345524923,-0.549494852037046,-0.110977092557034,-0.621936158532308,-0.0325382515803077,-0.506174926221538,-0.392041410138769,-0.683725945015385,-0.506680276530492,-0.396677793847908,-0.949474152707692,-0.549394273848923,-0.503558973703692,-0.720867157741538,-0.555346159400332,-0.437837459287385,-0.947472011790769,-0.537201442069846,-0.621188724858462,-0.507604207506462,-0.692862440004,-0.633236229753846,-0.903332518861538,-0.473974924380431,-0.597637325353846,-0.494882316238462,-0.608244930483077,-0.579130051151385,-0.728848991710769,-0.651886909221538
7,,0.270211697814935,-0.0187904887668182,-0.112492375388312,-0.577518324748052,-0.546403365345779,0.282343572058539,0.681289120844156,-0.0420221452496753,0.0342160711928604,-0.956538178587662,-0.955312554090909,0.155881847342857,0.0831829573168831,0.00760909767418831,-0.00791725696048701,-0.615131377408279,-0.622997416262013,0.289222287221753,-0.0518716929407792,-0.0646077113078896,0.0977671721406169,-0.687155474097403,-0.652408657909091,-0.219587057735649,-0.0942037376182662,-0.0414401406082792,-0.0610307928148701,-0.701731200484416,-0.674920114957468,-0.305084110404221,-0.511312036747403,-0.0103608721888961,-0.511312036747403,-0.0103608721888961,-0.622815767680292,0.00120487007954546,-0.581899897967533,0.0139212446199675,-0.713191348337662,0.0803812077321429,-0.593011288564935,-0.563547785174026,-0.531005941495552,-0.572347541484091,-0.567046977262987,-0.944872327792208,-0.637521940243831,-0.641687333850227,-0.642515716574286,-0.626785744584416,-0.628531630719481,-0.94657277512987,-0.643767578493507,-0.630419275006169,-0.655083354905844,-0.703883646896104,-0.671161922837662,-0.968107074058442,-0.518323878824675,-0.527078652041883,-0.553360009658182,-0.508126871173701,-0.628877272791136,-0.493481546224026,-0.668879188156396
8,,0.270759063295374,-0.0181894974688612,-0.106809623683986,-0.582958863017438,-0.349383732046263,0.0724944851658363,0.647498175409253,0.0303211113118861,0.0836542406807936,-0.954256666035587,-0.94844645047331,0.00877554257366548,0.084215745375516,0.000860301581786477,-0.0196719912994306,-0.575993073911744,-0.458724925167972,0.127423209866459,0.00359053897160142,-0.091077509832669,0.0640867611561922,-0.656219242281851,-0.570941237019217,-0.0633462940836299,-0.104969855200356,-0.0400922240331673,-0.0582887148366548,-0.674984452240214,-0.683086930288968,-0.127257585286904,-0.468522592843416,-0.116670984978648,-0.468522592843416,-0.116670984978648,-0.534248616612029,-0.103568311138292,-0.476214943826192,0.00539242527580071,-0.673625525658363,-0.14778366546427,-0.581831414648399,-0.374944236206406,-0.550979388719929,-0.585343460535587,-0.378656458967972,-0.916322651032029,-0.59163500910605,-0.495906215569395,-0.644285802406762,-0.598546245236655,-0.45636839585694,-0.923104942348754,-0.601382421248399,-0.575938482711388,-0.525562919047438,-0.675275353078292,-0.573087292172598,-0.952248850284698,-0.51210679285694,-0.639560830626335,-0.529244911130605,-0.758706025975089,-0.609984289180071,-0.523995597193594,-0.70215621546726
9,,0.270313841621528,-0.0209466555412396,-0.101233826213889,-0.555656544538195,-0.5758878952125,0.0212079795342014,0.670845545555556,-0.0467446999509028,0.104353653032743,-0.958784666180556,-0.949938115208333,0.0873824099399306,0.0840171430291667,0.00678485848399306,-0.00102998088194444,-0.57830516136007,-0.678923872274306,-0.114241692174028,-0.0701318154561458,-0.0729884312991667,0.109092913237986,-0.676452392569444,-0.670498220701389,0.0503765347979167,-0.0892254930640278,-0.0397344421815972,-0.053402884281875,-0.7617108665625,-0.773273878854167,0.118754676428472,-0.505183470509188,-0.0572281955868056,-0.505183470509188,-0.0572281955868056,-0.621608245092361,-0.129470527798958,-0.55020186657257,-0.0817126595448611,-0.7629795809375,-0.196946325668229,-0.579258404408681,-0.610267804090278,-0.592119122804271,-0.547995744907986,-0.586766083232639,-0.963659764305556,-0.621377141312847,-0.699766614569445,-0.702931927996528,-0.572819893733993,-0.679065855003472,-0.964194555694444,-0.639863219559028,-0.683924287600695,-0.612680463163889,-0.690689895534722,-0.667203220760417,-0.982376583125,-0.553186448295139,-0.654877788232639,-0.609193721940625,-0.448280031316667,-0.700863097986111,-0.584530174336042,-0.786473954201389
10,,0.27684847392517,-0.017835790552415,-0.111301532185714,-0.537807711163265,-0.497405885644898,-0.0105053140642857,0.642905730306122,-0.0740248544557823,0.0552047227876769,-0.965808126428571,-0.95452407255102,0.0424911581605442,0.0798108613061224,0.0129143257457823,-0.0113556967940476,-0.52938321427551,-0.540236619204728,-0.101968431707143,-0.0185023695936054,-0.0846403674590918,0.0910265011879252,-0.67390558227449,-0.591333155194558,0.0229200153863946,-0.108150829882313,-0.0424219983671769,-0.0555521277515646,-0.703243499727891,-0.768641779047619,0.0500199121836735,-0.502500207000204,-0.121168723757922,-0.502500207000204,-0.121168723757922,-0.57776193128833,-0.0195124193033255,-0.521819802352381,-0.0650336248039456,-0.734465805340136,-0.171350284064286,-0.532289464513606,-0.494651474235034,-0.655062273211565,-0.541170169070068,-0.532135172812313,-0.940760114387755,-0.547243039827891,-0.555104553563503,-0.721689700769728,-0.553403478735408,-0.556271725483333,-0.941863349217687,-0.620379208870442,-0.64835059542517,-0.567456661721769,-0.692654261914966,-0.565943677806122,-0.95285351829932,-0.518734046961905,-0.686748577343538,-0.515140810846939,-0.655902044785714,-0.661496552826531,-0.63629544085034,-0.767780095068027
