Citation,Tag,ExpMM,ExpYY,State,Make,Address,ViolCode,Description,ViolFine,ViolDate,Balance,PenaltyDate,OpenFine,OpenPenalty,ImportDate,Neighborhood,PoliceDistrict,CouncilDistrict,Location,2010 Census Neighborhoods,2010 Census Wards Precincts,Zip Codes
56552459,661G69,00,0,NV,DODGE,Dundalk Ave SB @ O'Donnell St,030,Red Light Violation,75.00,07/25/2020 10:24:00 AM,75.00,,75.00,0.00,,,,,,,,
56552046,8DZ1030,10,21,MD,FORD,Loch Raven Blvd SB @ E Belvede,030,Red Light Violation,75.00,07/25/2020 10:20:00 AM,75.00,,75.00,0.00,,,,,,,,
56552509,2DB9132,09,21,MD,AUDI,W Northern Pkwy EB @ N Charles,030,Red Light Violation,75.00,07/25/2020 10:18:00 AM,75.00,,75.00,0.00,,,,,,,,
56552368,8CX3445,09,20,MD,FORD,Pennsylvania Ave SB @ Dolphin,030,Red Light Violation,75.00,07/25/2020 10:01:00 AM,75.00,,75.00,0.00,,,,,,,,
56552608,4DY9367,12,21,MD,NISS,Reisterstown Rd SB @ W Cold Sp,030,Red Light Violation,75.00,07/25/2020 09:53:00 AM,75.00,,75.00,0.00,,,,,,,,
56552467,KRC6366,00,0,PA,KIA,Harford Ave NB @ E North Ave,030,Red Light Violation,75.00,07/25/2020 09:52:00 AM,75.00,,75.00,0.00,,,,,,,,
56552590,09291M5,10,21,MD,CHEV,Liberty Heights Ave WB @ W Nor,030,Red Light Violation,75.00,07/25/2020 09:50:00 AM,75.00,,75.00,0.00,,,,,,,,
56552293,LHK7122,00,0,PA,PONTI,S MLK Jr Blvd NB @ Washington,030,Red Light Violation,75.00,07/25/2020 09:49:00 AM,75.00,,75.00,0.00,,,,,,,,
56552269,4AK3309,11,21,MD,JEEP,W Cold Spring Lane EB @ Falls,030,Red Light Violation,75.00,07/25/2020 09:44:00 AM,75.00,,75.00,0.00,,,,,,,,
56552251,02921SG,12,99,MD,FORD,Liberty Heights Ave WB @ W Nor,030,Red Light Violation,75.00,07/25/2020 09:42:00 AM,75.00,,75.00,0.00,,,,,,,,
56552574,2CC6257,09,21,MD,HOND,N President St SB @ E Fayette,030,Red Light Violation,75.00,07/25/2020 09:40:00 AM,75.00,,75.00,0.00,,,,,,,,
56551717,5DM3061,09,20,MD,MAZD,S MLK Jr Blvd SB @ Washington,030,Red Light Violation,75.00,07/25/2020 09:38:00 AM,75.00,,75.00,0.00,,,,,,,,
56551691,5DS8460,03,21,MD,SUBA,Erdman Ave WB @ N Macon St,030,Red Light Violation,75.00,07/25/2020 09:36:00 AM,75.00,,75.00,0.00,,,,,,,,
56552624,3EF5856,05,22,MD,FORD,Caton Ave SB @ Wilkens Ave,030,Red Light Violation,75.00,07/25/2020 09:34:00 AM,75.00,,75.00,0.00,,,,,,,,
56551667,8BB5626,05,21,MD,HOND,S Monroe St NB @ Washington Bl,030,Red Light Violation,75.00,07/25/2020 09:31:00 AM,75.00,,75.00,0.00,,,,,,,,
56551642,8DB2296,10,21,MD,FORD,E North Ave WB @ N Howard St,030,Red Light Violation,75.00,07/25/2020 09:29:00 AM,75.00,,75.00,0.00,,,,,,,,
56552566,6DL1536,09,20,MD,KIA,N President St SB @ E Fayette,030,Red Light Violation,75.00,07/25/2020 09:25:00 AM,75.00,,75.00,0.00,,,,,,,,
56552194,ULU7250,00,0,VA,HYUN,Caton Ave SB @ Wilkens Ave,030,Red Light Violation,75.00,07/25/2020 09:25:00 AM,75.00,,75.00,0.00,,,,,,,,
56552178,9BX1623,03,21,MD,ACUR,S MLK Jr Blvd NB @ Washington,030,Red Light Violation,75.00,07/25/2020 09:22:00 AM,75.00,,75.00,0.00,,,,,,,,
